iter	Logloss
0	0.6805823513
1	0.6755706219
2	0.6655859993
3	0.6585878009
4	0.6521347057
5	0.6479697742
6	0.6448931568
7	0.6414101318
8	0.6401658297
9	0.6375709113
10	0.6362304979
11	0.6354270987
12	0.6346693938
13	0.6339723502
14	0.6332653347
15	0.6324166611
16	0.6299078051
17	0.6293254456
18	0.6287437486
19	0.6268588084
20	0.6245595748
21	0.6239177462
22	0.6233848241
23	0.6228360449
24	0.6221536677
25	0.6216906641
26	0.6211955382
27	0.6200307919
28	0.6196148196
29	0.6191838222
30	0.6186197078
31	0.6181546078
32	0.6176822739
33	0.6162026356
34	0.6159085838
35	0.6154937538
36	0.6151682825
37	0.6146946709
38	0.6143648888
39	0.6140950116
40	0.6137116665
41	0.6131772643
42	0.6128732524
43	0.6126097609
44	0.6122735427
45	0.6120316517
46	0.6118146908
47	0.6114273513
48	0.6110682765
49	0.6107536696
50	0.6105792189
51	0.6103765047
52	0.6101309607
53	0.6097845103
54	0.6096568672
55	0.6093246677
56	0.6092195555
57	0.6089550785
58	0.6086187042
59	0.6083615364
60	0.6081277625
61	0.6078885214
62	0.6076029846
63	0.6073071262
64	0.6070720259
65	0.6068778045
66	0.6063142792
67	0.6059604568
68	0.6057279318
69	0.6054889187
70	0.6052809466
71	0.6050112709
72	0.6047856957
73	0.6045688454
74	0.6043192454
75	0.6041157192
76	0.6038019663
77	0.6035760094
78	0.6034373874
79	0.6032016714
80	0.6028979201
81	0.6026603364
82	0.6023813431
83	0.6021675846
84	0.6019005267
85	0.6016173349
86	0.6014837356
87	0.6012547581
88	0.601062073
89	0.6008464188
90	0.6006743064
91	0.600370233
92	0.6002534
93	0.6000857773
94	0.5998683738
95	0.5997025559
96	0.5995601012
97	0.5994513071
98	0.599300201
99	0.5991147645
100	0.5989951547
101	0.5987909087
102	0.598606103
103	0.5984531238
104	0.598243903
105	0.598128542
106	0.597884801
107	0.5977047544
108	0.5975124979
109	0.5973255072
110	0.5971468294
111	0.5969515916
112	0.5968260098
113	0.5967649635
114	0.5965973901
115	0.596384083
116	0.5962167122
117	0.5960754061
118	0.5958576239
119	0.5956972269
120	0.5955496838
121	0.5953592931
122	0.5952206065
123	0.5951513073
124	0.5949961293
125	0.5948286716
126	0.5945846725
127	0.5944659088
128	0.5943129587
129	0.5942236242
130	0.5940324952
131	0.5939103297
132	0.5938473427
133	0.5936783104
134	0.5933835927
135	0.5932870229
136	0.5931363521
137	0.5930169341
138	0.5928210415
139	0.5926717942
140	0.5925598184
141	0.5924566338
142	0.592350144
143	0.5922037531
144	0.5920939123
145	0.5910860649
146	0.5909293163
147	0.5907789716
148	0.5906809884
149	0.5905448531
150	0.5904315856
151	0.5902005871
152	0.5900620475
153	0.5899831707
154	0.5898200001
155	0.5896609238
156	0.5895626782
157	0.5894993976
158	0.5894349075
159	0.5893357652
160	0.5892243377
161	0.5891095779
162	0.588827644
163	0.5887150186
164	0.5885582828
165	0.5883898924
166	0.588265536
167	0.5876158844
168	0.5874678275
169	0.5873963495
170	0.5867239701
171	0.5865415942
172	0.586519631
173	0.5862059494
174	0.5860696539
175	0.5859484424
176	0.5858906043
177	0.5856465924
178	0.5854572955
179	0.5852538537
180	0.5851562303
181	0.5850630712
182	0.5849166148
183	0.5847470746
184	0.5846155364
185	0.5844322972
186	0.5843452753
187	0.5842004732
188	0.5840887591
189	0.5839298289
190	0.5837011356
191	0.5835332618
192	0.583389218
193	0.5831949658
194	0.5830514183
195	0.5828728473
196	0.5826973152
197	0.5825813608
198	0.5824042793
199	0.5822937381
200	0.582130743
201	0.5820264931
202	0.5818875406
203	0.5817474753
204	0.5815345886
205	0.5814364046
206	0.581227198
207	0.5811078581
208	0.5809428045
209	0.5808009514
210	0.580608115
211	0.5804866841
212	0.5803342102
213	0.5801585542
214	0.5799988717
215	0.5798757591
216	0.5796897291
217	0.5793967263
218	0.5791908136
219	0.5790199776
220	0.5788654888
221	0.5786672801
222	0.578523035
223	0.5783339056
224	0.5781449555
225	0.5780242941
226	0.5779301075
227	0.5776723579
228	0.5775388771
229	0.5773628617
230	0.5772123938
231	0.5770941596
232	0.5770037129
233	0.5768104255
234	0.5766904459
235	0.5765848893
236	0.5764653385
237	0.5761198634
238	0.5759152632
239	0.5757366046
240	0.5755949168
241	0.5754166948
242	0.5752445078
243	0.5751334046
244	0.5749725717
245	0.5748501216
246	0.5746812933
247	0.5745490667
248	0.5743744405
249	0.5742431184
250	0.5740435109
251	0.573874363
252	0.5736573887
253	0.57348741
254	0.5732894957
255	0.5731087949
256	0.5729790427
257	0.5728584426
258	0.5727355179
259	0.5725706563
260	0.5724214826
261	0.5722245902
262	0.5721028387
263	0.5719708282
264	0.5718277979
265	0.5716961871
266	0.571601338
267	0.5714629512
268	0.5712526174
269	0.5711354629
270	0.5710400335
271	0.5708096251
272	0.5707584777
273	0.5705732656
274	0.5704596192
275	0.570301225
276	0.5701427744
277	0.5700258204
278	0.5698882477
279	0.5697035753
280	0.5694745412
281	0.5693459761
282	0.5691361615
283	0.5690408072
