iter	Logloss
284	0.5688426759
285	0.5687064136
286	0.5685499497
287	0.56842147
288	0.5682287105
289	0.5680882109
290	0.5679388106
291	0.5677803343
292	0.5676417894
293	0.5675547947
294	0.5674310176
295	0.567220194
296	0.5671433951
297	0.5669716833
298	0.5664796423
299	0.5662684851
300	0.5661992374
301	0.5660675887
302	0.5659320163
303	0.5657343106
304	0.5656080107
305	0.5655034092
306	0.5654158677
307	0.5651952198
308	0.5650484314
309	0.564890376
310	0.5647407115
311	0.5645515342
312	0.564454356
313	0.5642957126
314	0.5641668529
315	0.564047885
316	0.5638999294
317	0.5637665434
318	0.5636357376
319	0.5636003284
320	0.5635018639
321	0.5634002674
322	0.5632786939
323	0.5631660769
324	0.5630185776
325	0.5628522315
326	0.5627155408
327	0.5625198384
328	0.562328298
329	0.5622236733
330	0.5620786163
331	0.5619576981
332	0.5618156753
333	0.5616319635
334	0.5614817819
335	0.5613927623
336	0.5613088491
337	0.5611710819
338	0.5610251455
339	0.5608734937
340	0.5607538424
341	0.5606744609
342	0.5605723679
343	0.5604239555
344	0.5602947902
345	0.5601333503
346	0.5599254237
347	0.5598381786
348	0.5596867789
349	0.5596161191
350	0.5594809218
351	0.5593605331
352	0.5592686002
353	0.5591014145
354	0.5589771878
355	0.5587979728
356	0.5586327494
357	0.558193519
358	0.5580724971
359	0.5579512754
360	0.5578388367
361	0.5576992455
362	0.5575879694
363	0.5574911342
364	0.557406029
365	0.5572145207
366	0.5571123899
367	0.5569527391
368	0.5568473128
369	0.5567397948
370	0.5566337161
371	0.5564530008
372	0.5563125261
373	0.5562076844
374	0.5560800204
375	0.5559582723
376	0.5558028792
377	0.5556699516
378	0.5555669587
379	0.5554185312
380	0.5552260627
381	0.5551280118
382	0.554958794
383	0.5548596919
384	0.5547344319
385	0.5546288226
386	0.5544754966
387	0.5542955077
388	0.5541419583
389	0.5540480569
390	0.5538758909
391	0.5537272865
392	0.5536168401
393	0.5535301651
394	0.5534608254
395	0.5533531345
396	0.5532147016
397	0.5531643194
398	0.5529026985
399	0.5527736727
400	0.5526828736
401	0.5525364323
402	0.552404176
403	0.5522980945
404	0.5522261764
405	0.5521380925
406	0.5519759043
407	0.5518286047
408	0.5517048569
409	0.5516213121
410	0.5514985389
411	0.5513442381
412	0.5512217733
413	0.5510910868
414	0.5509740622
415	0.5505942358
416	0.5504689689
417	0.5503413386
418	0.5502587592
419	0.5501429664
420	0.5500336414
421	0.5499477195
422	0.5498586382
423	0.5496787253
424	0.5495157477
425	0.5493915376
426	0.5491943032
427	0.5490637903
428	0.5489906029
429	0.548918765
430	0.5488399675
431	0.5487381242
432	0.5486557935
433	0.5485027772
434	0.5483955244
435	0.5482753672
436	0.5481517438
437	0.5480757716
438	0.5479772926
439	0.5478550006
440	0.5477614917
441	0.5476474334
442	0.5475371298
443	0.5474705833
444	0.5473978954
445	0.5473503348
446	0.5472674889
447	0.5471732977
448	0.5470365981
449	0.5469516853
450	0.5468071873
451	0.5467560129
452	0.5466157706
453	0.5465013662
454	0.5463311719
455	0.5461892476
456	0.5461396351
457	0.5460685583
458	0.5459741581
459	0.5459054916
460	0.5458547578
461	0.5457770214
462	0.5456571999
463	0.5455337477
464	0.5454385858
465	0.5453497065
466	0.5452411189
467	0.5451863362
468	0.545117748
469	0.5450231851
470	0.5448660385
471	0.5447635563
472	0.5447214752
473	0.5446302888
474	0.5445292033
475	0.5443724298
476	0.5441719824
477	0.5439984336
478	0.5439457184
479	0.543821442
480	0.5436613142
481	0.5434835905
482	0.5434652035
483	0.5433752071
484	0.5432678807
485	0.5431339012
486	0.5430196098
487	0.5429097161
488	0.5427732957
489	0.5426636487
490	0.5425665588
491	0.5424846063
492	0.5423080944
493	0.542204611
494	0.5420479542
495	0.5419666808
496	0.5418061378
497	0.5416752521
498	0.5415991603
499	0.541474669
